月,实际品牌,产品,是否旗舰店,进入时间,销量(件),均价(元),匹数,机型,冷暖型和单冷型,新风功能,是否为省电型,滞后三期铜价,市场月活
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,1951,1635,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米官方旗舰店,0,0,1932,1649,大 1 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,837,3699,大 3 匹,1,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调京东自营旗舰店,0,0,636,4709,大 3 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,413,6999,正 3 匹,1,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-京东电器自营官方旗舰店,0,0,737,3878,大 3 匹,0,1,0,0,11790.96,591500000
202603,统帅 Leader,统帅 Leader-海尔京东自营旗舰店,0,0,1056,2699.9,正 2 匹,0,1,0,0,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,837,3399,正 2 匹,0,1,0,1,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,1025,2699,大 1.5 匹,0,1,1,0,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,1302,2098,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,华凌,华凌-华凌京东自营旗舰店,0,0,865,3096,正 2 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的上海旗舰店,0,0,1027,2587,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,1149,2299,正 2 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL空调臻选旗舰店,0,0,1702,1539,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,403,6459.1,4匹,1,1,0,1,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,547,4599,正 3 匹,1,1,0,1,11790.96,591500000
202603,志高 Chigo,志高 Chigo-志高（CHIGO）空调京东自营旗舰店,0,0,1658,1499,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调旗舰店,0,0,949,2587,大 1.5 匹,0,0,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,812,2973.6,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,726,3314.2,正 2 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,550,4334.1,大 2 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,678,3441.7,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力中央空调旗舰店,0,0,1138,2039.2,正 1.5 匹,0,0,0,1,11790.96,591500000
202603,科龙 Kelon,科龙 Kelon-科龙空调京东自营旗舰店,0,0,1281,1799,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,212,10599,正 3 匹,1,1,0,0,11790.96,591500000
202603,新飞 Frestec,新飞 Frestec-新飞空调旗舰店,0,0,1942,1150,大 1 匹,0,1,0,1,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-京东电器自营官方旗舰店,0,0,1382,1614.1,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,583,3824.1,正 1 匹,1,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,889,2499,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,华凌,华凌-华凌官方旗舰店,0,0,1334,1649,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,新飞 Frestec,新飞 Frestec-新飞空调旗舰店,0,0,1753,1250,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,313,6949,正 3 匹,1,1,0,0,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,1353,1599,大 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-京东家电自营旗舰店,0,0,309,6999,正 3 匹,0,1,0,1,11790.96,591500000
202603,统帅 Leader,统帅 Leader-海尔京东自营旗舰店,0,0,1281,1628,大 1 匹,0,1,0,1,11790.96,591500000
202603,Aufit,Aufit-京东家电自营旗舰店,0,0,597,3449,大 3 匹,1,1,0,0,11790.96,591500000
202603,华凌,华凌-华凌中驰专卖店,0,0,406,4999,大 3 匹,1,1,0,0,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,614,3299,大 2 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,232,8699,正 3 匹,1,1,0,0,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,399,4999,正 3 匹,1,0,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调智选旗舰店,0,0,767,2587,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,523,3699,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调京东自营旗舰店,0,0,437,4419.2,正 1 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力官方旗舰店,0,0,711,2699,大 1 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调官方旗舰店,1,2024/1/4,340,5599,大 3 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,828,2299,大 1 匹,0,0,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,610,3099,正 1.5 匹,0,0,0,0,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,419,4499,正 3 匹,0,0,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力官方旗舰店,0,0,291,6458.3,正 3 匹,1,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调旗舰店,0,0,902,2081.6,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,954,1949,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米空调旗舰店,0,0,1061,1729.1,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,Aufit,Aufit-AUFIT空调旗舰店,0,0,531,3449,正 3 匹,1,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-京东电器自营官方旗舰店,0,0,875,2089,正 1 匹,0,1,0,1,11790.96,591500000
202603,长虹 Changhong,长虹 Changhong-长虹空调京东自营旗舰店,0,0,1033,1749,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调京东自营旗舰店,0,0,583,3098.3,正 2 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调官方旗舰店,1,2024/1/4,812,2198.9,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,572,3099.1,正 2 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力旗舰店,0,0,602,2898,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的空调智选旗舰店,0,0,558,3099,正 2 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的厨房空调旗舰店,0,0,668,2587,大 1.5 匹,0,1,0,1,11790.96,591500000
